id	longitude	latitude	WorldClim: Precipitation - annual	WorldClim: Precipitation - coldest quarter	WorldClim: Precipitation - driest month	WorldClim: Precipitation - driest quarter	WorldClim: Precipitation - seasonality	WorldClim: Precipitation - warmest quarter	WorldClim: Precipitation - wettest month	WorldClim: Precipitation - wettest quarter	WorldClim: Temperature - annual mean	WorldClim: Temperature - annual range	WorldClim: Temperature - coldest month min	WorldClim: Temperature - coldest quarter mean	WorldClim: Temperature - diurnal range mean	WorldClim: Temperature - driest quarter mean	WorldClim: Temperature - isothermality	WorldClim: Temperature - seasonality	WorldClim: Temperature - warmest month max	WorldClim: Temperature - warmest quarter mean	WorldClim: Temperature - wettest quarter mean
1930	66.89867	36.749336	176	82	0	0	95	0	43	103	174	403	-16	51	135	299	33	9576	387	299	71
4006	2.25	43.416668	922	231	55	207	13	212	94	256	98	248	-11	28	91	170	36	5593	237	170	116
1094 Bd28	144.54163	-37.95503	504	120	30	105	14	105	53	147	145	198	53	99	97	190	48	3538	251	190	119
1Al	-0.75903	41.6003	352	69	16	69	28	73	46	115	149	284	23	71	105	71	36	6187	307	229	172
2Al	-0.76087	41.5912	351	69	16	69	27	73	46	114	149	284	23	71	105	71	36	6174	307	229	173
Abi	0.20794	42.19533	619	124	35	124	20	147	72	188	114	269	-7	40	103	40	38	5867	262	190	136
ABR113	-9.250488	38.782993	817	348	4	33	65	35	128	368	152	182	71	105	76	197	41	3776	253	202	113
ABR114	2.832069	39.476486	527	154	6	47	48	82	87	214	162	222	61	102	81	228	36	5129	283	232	140
ABR2	3.262939	43.604263	726	192	31	133	21	133	85	221	128	266	9	56	99	203	37	5752	275	203	95
ABR3	0.612488	42.689503	1201	276	80	271	13	275	127	344	49	234	-54	-16	81	-9	34	5393	180	121	62
ABR4	-0.271568	40.992725	430	77	19	77	33	90	58	139	137	266	16	66	98	74	36	5896	282	215	158
ABR5	-0.547943	42.570274	779	191	43	164	15	164	84	218	95	252	-17	28	99	166	39	5402	235	166	113
ABR7	-4.738702	41.66944	429	121	14	60	30	67	50	136	122	293	0	46	116	201	39	6082	293	202	56
ABR8	11.319695	43.314564	775	207	30	121	29	121	105	272	137	263	25	63	92	216	34	6034	288	216	105
ABR9	14.503326	45.986465	1298	282	77	246	17	339	138	397	107	292	-26	15	91	25	31	7056	266	196	113
Adi	38.35228	37.770695	631	328	1	8	80	10	124	328	174	365	12	60	112	290	30	9025	377	290	60
ADN1	138.00906	-32.291607	348	116	17	55	31	55	42	121	168	281	37	98	134	235	47	5351	318	235	108
ADN2	138.00928	-32.29201	349	116	17	55	31	55	43	122	168	279	38	99	134	235	48	5312	317	235	108
ADN3	138.00902	-32.292274	349	116	17	55	31	55	43	122	168	279	38	99	134	235	48	5312	317	235	108
ADN4	138.0088	-32.292103	349	116	17	55	31	55	43	122	168	279	38	99	134	235	48	5312	317	235	108
Ald1	-3.41059	38.39257	520	164	7	41	45	41	68	186	139	326	7	58	122	232	37	6859	333	232	91
Ald2	-3.4083	38.39336	500	158	6	38	46	38	66	180	144	325	11	62	122	236	37	6840	336	236	96
Ald3	-3.45227	38.39776	542	170	8	44	44	44	71	194	134	329	1	52	123	228	37	6899	330	228	86
Ald4	-3.39935	38.4007	482	152	6	36	45	36	64	174	148	324	15	67	121	240	37	6800	339	240	101
ALM	146.79668	-35.62625	578	168	32	109	21	114	61	175	153	285	27	82	128	223	44	5592	312	225	92
Alq	0.01816	42.16899	617	124	35	124	20	144	73	187	106	264	-12	35	101	35	38	5675	252	180	126
